Date,Open,High,Low,Close,Volume
02/10/2023,"202.23","206.20","192.89","196.89","204,754,094"
02/09/2023,"207.78","214.00","204.77","207.32","215,431,391"
02/08/2023,"196.10","203.00","194.31","201.29","180,673,594"
02/07/2023,"196.43","197.50","189.55","196.81","186,010,297"
02/06/2023,"193.01","198.17","189.92","194.76","186,188,094"
02/03/2023,"183.95","199.00","183.69","189.98","232,662,000"
02/02/2023,"187.33","196.75","182.61","188.27","217,448,297"
02/01/2023,"173.89","183.81","169.93","181.41","213,806,297"
01/31/2023,"164.57","174.30","162.78","173.22","196,813,500"
01/30/2023,"178.05","179.77","166.50","166.66","230,878,797"
01/27/2023,"162.43","180.68","161.17","177.90","306,590,594"
01/26/2023,"159.97","161.42","154.76","160.27","234,815,109"
01/25/2023,"141.91","146.41","138.07","144.43","192,734,297"
01/24/2023,"143.00","146.50","141.10","143.89","158,699,109"
01/23/2023,"135.87","145.38","134.27","143.75","203,119,203"
01/20/2023,"128.68","133.51","127.35","133.42","138,858,094"
01/19/2023,"127.26","129.99","124.31","127.17","170,291,906"
01/18/2023,"136.56","136.68","127.01","128.78","195,680,297"
01/17/2023,"125.70","131.70","125.02","131.49","186,476,984"
01/13/2023,"116.55","122.63","115.60","122.40","180,714,094"
01/12/2023,"122.56","124.13","117.00","123.56","169,400,891"
01/11/2023,"122.09","125.95","120.51","123.22","183,810,797"
01/10/2023,"121.07","122.76","114.92","118.85","167,642,500"
01/09/2023,"118.96","123.52","117.11","119.77","190,284,000"
01/06/2023,"103.00","114.39","101.81","113.06","220,911,109"
01/05/2023,"110.51","111.75","107.16","110.34","157,986,297"
01/04/2023,"109.11","114.59","107.52","113.64","180,388,984"
01/03/2023,"118.47","118.80","104.64","108.10","231,402,797"
12/30/2022,"119.95","124.48","119.75","123.18","157,777,297"
12/29/2022,"120.39","123.57","117.50","121.82","221,923,297"
12/28/2022,"110.35","116.27","108.24","112.71","221,070,500"
12/27/2022,"117.50","119.67","108.76","109.10","208,643,391"
12/23/2022,"126.37","128.62","121.02","123.15","166,989,703"
12/22/2022,"136.00","136.63","122.26","125.35","210,090,297"
12/21/2022,"139.34","141.26","135.89","137.57","145,417,406"
12/20/2022,"146.05","148.47","137.66","137.80","159,563,297"
12/19/2022,"154.00","155.25","145.82","149.87","139,390,594"
12/16/2022,"159.64","160.99","150.04","150.23","139,032,188"
12/15/2022,"153.44","160.93","153.28","157.67","122,334,492"
12/14/2022,"159.25","161.62","155.31","156.80","140,682,297"
12/13/2022,"174.87","175.05","156.91","160.95","175,862,703"
12/12/2022,"176.10","177.37","167.52","167.82","109,794,492"
12/09/2022,"173.84","182.50","173.36","179.05","104,872,305"
12/08/2022,"172.20","175.20","169.06","173.44","97,624,484"
12/07/2022,"175.03","179.38","172.22","174.04","84,213,281"
12/06/2022,"181.22","183.65","175.33","179.82","92,150,812"
12/05/2022,"189.44","191.27","180.55","182.45","93,122,672"
12/02/2022,"191.78","196.25","191.11","194.86","73,645,922"
12/01/2022,"197.08","198.92","191.80","194.70","80,046,211"
11/30/2022,"182.43","194.76","180.63","194.70","109,186,398"
11/29/2022,"184.99","186.38","178.75","180.83","83,357,109"
11/28/2022,"179.96","188.50","179.00","182.92","93,038,148"
11/25/2022,"185.06","185.20","180.63","182.86","50,672,738"
11/23/2022,"173.57","183.62","172.50","183.20","109,536,703"
11/22/2022,"168.63","170.92","166.19","169.91","78,452,328"
11/21/2022,"175.85","176.77","167.54","167.87","92,882,711"
11/18/2022,"185.05","185.19","176.55","180.19","76,048,875"
11/17/2022,"183.96","186.16","180.90","183.17","64,335,969"
11/16/2022,"191.51","192.57","185.66","186.92","66,567,602"
11/15/2022,"195.88","200.82","192.06","194.42","91,293,789"
11/14/2022,"192.77","195.73","186.34","190.95","92,226,648"
11/11/2022,"186.00","196.52","182.59","195.97","114,403,602"
11/10/2022,"189.90","191.00","180.03","190.72","132,703,000"
11/09/2022,"190.78","195.89","177.12","177.59","127,062,703"
11/08/2022,"194.02","195.20","186.75","191.30","128,803,398"
11/07/2022,"208.65","208.90","196.66","197.08","93,916,523"
11/04/2022,"222.60","223.80","203.08","207.47","98,622,211"
11/03/2022,"211.36","221.20","210.14","215.31","56,538,848"
11/02/2022,"226.04","227.87","214.82","214.98","63,070,289"
11/01/2022,"234.05","237.40","227.28","227.82","62,688,820"
10/31/2022,"226.19","229.85","221.94","227.54","61,554,340"
10/28/2022,"225.40","228.86","216.35","228.52","69,152,391"
10/27/2022,"229.77","233.81","222.85","225.09","61,638,820"
10/26/2022,"219.40","230.60","218.20","224.64","85,327,078"
10/25/2022,"210.10","224.35","210.00","222.42","96,507,875"
10/24/2022,"205.82","213.50","198.59","211.25","100,446,797"
10/21/2022,"206.42","214.66","203.80","214.44","75,713,750"
10/20/2022,"208.28","215.55","202.00","207.28","117,798,094"
10/19/2022,"219.80","222.93","217.78","222.04","66,571,477"
10/18/2022,"229.50","229.82","217.25","220.19","75,891,914"
